able unable
backward forward
forward backward
balconied unbalconied
unbalconied balconied
barreled unbarreled
unbarreled barreled
beaked beakless
beakless beaked
bedded bedless
bedless bedded
beneficed unbeneficed
unbeneficed beneficed
stratified unstratified
unstratified stratified
ferned fernless
fernless ferned
grassy grassless
grassless grassy
gusseted ungusseted
ungusseted gusseted
hairless hairy
hairy hairless
awned awnless
awnless awned
bearing nonbearing
nonbearing bearing
beautiful ugly
ugly beautiful
bellied bellyless
bellyless bellied
banded unbanded
unbanded banded
belted unbelted
unbelted belted
beneficent maleficent
maleficent beneficent
malicious unmalicious
unmalicious malicious
benign malign
malign benign
best worst
worst best
better worse
worse better
better worse
worse better
bettering worsening
worsening bettering
bicameral unicameral
unicameral bicameral
bidirectional unidirectional
unidirectional bidirectional
faced faceless
faceless faced
bibbed bibless
bibless bibbed
unilateral multilateral
multilateral unilateral
bimodal unimodal
unimodal bimodal
binaural monaural
monaural binaural
binucleate mononuclear
binucleate trinucleate
mononuclear binucleate
mononuclear trinucleate
trinucleate binucleate
trinucleate mononuclear
bipedal quadrupedal
biped quadruped
quadrupedal bipedal
quadruped biped
black white
white black
blond brunet
brunet blond
blemished unblemished
unblemished blemished
bloody bloodless
bloodless bloody
bold timid
timid bold
bound unbound
unbound bound
laced unlaced
unlaced laced
tied untied
untied tied
tangled untangled
untangled tangled
bound unbound
unbound bound
bordered unbordered
unbordered bordered
lotic lentic
lentic lotic
lower-class middle-class
lower-class upper-class
middle-class lower-class
middle-class upper-class
upper-class lower-class
upper-class middle-class
brachycephalic dolichocephalic
dolichocephalic brachycephalic
brave cowardly
cowardly brave
gutsy gutless
gutless gutsy
breast-fed bottle-fed
bottle-fed breast-fed
breathing breathless
breathless breathing
crystalline noncrystalline
noncrystalline crystalline
landed landless
landless landed
light dark
dark light
shaded unshaded
unshaded shaded
shaded unshaded
unshaded shaded
moonlit moonless
moonless moonlit
bridgeable unbridgeable
unbridgeable bridgeable
bright dull
dull bright
dimmed undimmed
undimmed dimmed
prejudiced unprejudiced
unprejudiced prejudiced
broad-minded narrow-minded
narrow-minded broad-minded
reconstructed unreconstructed
unreconstructed reconstructed
broken unbroken
unbroken broken
broken unbroken
unbroken broken
broken unbroken
unbroken broken
brotherly sisterly
sisterly brotherly
exergonic endergonic
endergonic exergonic
fraternal identical
identical fraternal
buried unburied
unburied buried
busy idle
idle busy
bony boneless
boneless bony
buttoned unbuttoned
unbuttoned buttoned
capitalistic socialistic
socialistic capitalistic
cacophonous euphonious
euphonious cacophonous
calculable incalculable
incalculable calculable
calm stormy
stormy calm
camphorated uncamphorated
uncamphorated camphorated
capable incapable
incapable capable
capable incapable
incapable capable
cared-for uncared-for
uncared-for cared-for
careful careless
careless careful
carnivorous herbivorous
carnivorous insectivorous
carnivorous omnivorous
herbivorous carnivorous
herbivorous insectivorous
herbivorous omnivorous
omnivorous carnivorous
omnivorous herbivorous
omnivorous insectivorous
insectivorous carnivorous
insectivorous herbivorous
insectivorous omnivorous
holozoic holophytic
holophytic holozoic
carpellate acarpelous
acarpelous carpellate
carpeted uncarpeted
uncarpeted carpeted
carvel-built clinker-built
clinker-built carvel-built
carved uncarved
uncarved carved
acatalectic catalectic
acatalectic hypercatalectic
catalectic acatalectic
catalectic hypercatalectic
hypercatalectic acatalectic
hypercatalectic catalectic
cauline radical
radical cauline
censored uncensored
uncensored censored
caudate acaudate
acaudate caudate
caulescent acaulescent
acaulescent caulescent
causative noncausative
noncausative causative
cautious incautious
incautious cautious
cellular noncellular
noncellular cellular
coherent incoherent
incoherent coherent
compartmented uncompartmented
uncompartmented compartmented
porous nonporous
nonporous porous
central peripheral
peripheral central
centrifugal centripetal
centripetal centrifugal
afferent efferent
efferent afferent
centralizing decentralizing
decentralizing centralizing
certain uncertain
uncertain certain
certain uncertain
sure unsure
uncertain certain
unsure sure
convinced unconvinced
unconvinced convinced
confident diffident
diffident confident
certain uncertain
uncertain certain
certified uncertified
uncertified certified
inevitable evitable
evitable inevitable
preventable unpreventable
unpreventable preventable
changeable unchangeable
unchangeable changeable
commutable incommutable
incommutable commutable
alterable unalterable
unalterable alterable
modifiable unmodifiable
unmodifiable modifiable
adjusted unadjusted
unadjusted adjusted
adjusted maladjusted
maladjusted adjusted
altered unaltered
unaltered altered
amended unamended
unamended amended
changed unchanged
unchanged changed
isometric isotonic
isotonic isometric
ionized nonionized
nonionized ionized
mutable immutable
immutable mutable
characteristic uncharacteristic
uncharacteristic characteristic
charged uncharged
uncharged charged
charitable uncharitable
uncharitable charitable
chartered unchartered
unchartered chartered
owned unowned
unowned owned
chaste unchaste
unchaste chaste
cheerful depressing
depressing cheerful
chlamydeous achlamydeous
achlamydeous chlamydeous
chondritic achondritic
achondritic chondritic
monoclinic triclinic
triclinic monoclinic
monochromatic polychromatic
polychromatic monochromatic
chromatic achromatic
achromatic chromatic
black white
white black
saturated unsaturated
unsaturated saturated
color black-and-white
black-and-white color
colored uncolored
uncolored colored
stained unstained
unstained stained
colorful colorless
colorless colorful
colorful colorless
colourful colourless
colorless colorful
colourless colourful
light dark
dark light
chromatic diatonic
diatonic chromatic
cismontane tramontane
tramontane cismontane
christian unchristian
unchristian christian
civilized noncivilized
noncivilized civilized
classical nonclassical
nonclassical classical
classified unclassified
unclassified classified
classified unclassified
unclassified classified
analyzed unanalyzed
unanalyzed analyzed
clean dirty
dirty clean
clean dirty
dirty clean
clean dirty
dirty clean
radioactive nonradioactive
nonradioactive radioactive
clean unclean
unclean clean
clear unclear
unclear clear
clear opaque
opaque clear
radiolucent radiopaque
radiopaque radiolucent
clearheaded confused
confused clearheaded
clement inclement
inclement clement
clement inclement
inclement clement
smart stupid
stupid smart
clockwise counterclockwise
counterclockwise clockwise
far near
near far
distant close
close distant
distant close
close distant
cousinly uncousinly
uncousinly cousinly
clothed unclothed
unclothed clothed
saddled unsaddled
unsaddled saddled
clear cloudy
cloudy clear
coastal inland
inland coastal
inshore offshore
offshore inshore
coherent incoherent
incoherent coherent
collapsible noncollapsible
noncollapsible collapsible
crannied uncrannied
uncrannied crannied
collective distributive
distributive collective
publicized suppressed
suppressed publicized
published unpublished
unpublished published
publishable unpublishable
unpublishable publishable
reported unreported
unreported reported
reportable unreportable
unreportable reportable
combinative noncombinative
noncombinative combinative
combustible noncombustible
noncombustible combustible
explosive nonexplosive
nonexplosive explosive
lighted unlighted
unlighted lighted
commodious incommodious
incommodious commodious
comfortable uncomfortable
uncomfortable comfortable
comfortable uncomfortable
uncomfortable comfortable
commensurate incommensurate
incommensurate commensurate
proportionate disproportionate
disproportionate proportionate
commercial noncommercial
noncommercial commercial
residential nonresidential
nonresidential residential
commissioned noncommissioned
noncommissioned commissioned
common uncommon
uncommon common
usual unusual
unusual usual
hydrophobic hydrophilic
hydrophilic hydrophobic
oleophilic oleophobic
oleophobic oleophilic
common individual
individual common
communicative uncommunicative
uncommunicative communicative
compact loose
loose compact
comparable incomparable
incomparable comparable
compassionate uncompassionate
uncompassionate compassionate
compatible incompatible
incompatible compatible
compatible incompatible
incompatible compatible
miscible immiscible
immiscible miscible
competent incompetent
incompetent competent
competent incompetent
incompetent competent
competitive noncompetitive
noncompetitive competitive
complaining uncomplaining
uncomplaining complaining
compressible incompressible
incompressible compressible
whole fractional
fractional whole
whole half
half whole
committed uncommitted
uncommitted committed
dedicated undedicated
undedicated dedicated
complete incomplete
incomplete complete
comprehensive noncomprehensive
noncomprehensive comprehensive
composed discomposed
discomposed composed
comprehensible incomprehensible
incomprehensible comprehensible
concave convex
convex concave
concentrated distributed
distributed concentrated
concentric eccentric
eccentric concentric
concerned unconcerned
unconcerned concerned
concise prolix
prolix concise
conclusive inconclusive
inconclusive conclusive
consummated unconsummated
unconsummated consummated
coordinating subordinating
subordinating coordinating
accordant discordant
discordant accordant
contracted expanded
expanded contracted
atrophied hypertrophied
hypertrophied atrophied
conditional unconditional
unconditional conditional
enforceable unenforceable
unenforceable enforceable
enforced unenforced
unenforced enforced
conductive nonconductive
nonconductive conductive
confined unconfined
unconfined confined
crowded uncrowded
uncrowded crowded
congenial uncongenial
uncongenial congenial
congruent incongruent
incongruent congruent
congruous incongruous
incongruous congruous
conjunctive disjunctive
disjunctive conjunctive
conjunct disjunct
disjunct conjunct
connected unconnected
unconnected connected
conquerable unconquerable
unconquerable conquerable
conscious unconscious
unconscious conscious
consecrated desecrated
desecrated consecrated
priestly unpriestly
unpriestly priestly
conservative liberal
liberal conservative
consistent inconsistent
inconsistent consistent
conspicuous inconspicuous
inconspicuous conspicuous
discernible indiscernible
indiscernible discernible
distinguishable indistinguishable
indistinguishable distinguishable
constant inconstant
inconstant constant
constructive destructive
destructive constructive
contented discontented
discontented contented
contestable incontestable
incontestable contestable
continent incontinent
incontinent continent
continual sporadic
sporadic continual
continuous discontinuous
discontinuous continuous
continuous discontinuous
discontinuous continuous
continued discontinued
discontinued continued
controlled uncontrolled
uncontrolled controlled
controversial uncontroversial
uncontroversial controversial
argumentative unargumentative
unargumentative argumentative
convenient inconvenient
inconvenient convenient
conventional unconventional
conventional unconventional
unconventional conventional
conventional unconventional
unconventional conventional
unconventional conventional
conformist nonconformist
nonconformist conformist
nuclear conventional
conventional nuclear
traditional nontraditional
nontraditional traditional
convergent divergent
divergent convergent
branchy branchless
branchless branchy
convincing unconvincing
unconvincing convincing
cooked raw
raw cooked
cooperative uncooperative
uncooperative cooperative
corrupt incorrupt
incorrupt corrupt
synergistic antagonistic
antagonistic synergistic
considerable inconsiderable
inconsiderable considerable
substantial insubstantial
insubstantial substantial
material immaterial
immaterial material
bodied unbodied
unbodied bodied
brainwashed unbrainwashed
unbrainwashed brainwashed
corporeal incorporeal
incorporeal corporeal
correct incorrect
right wrong
incorrect correct
wrong right
right wrong
wrong right
corrected uncorrected
uncorrected corrected
corrigible incorrigible
incorrigible corrigible
cosmopolitan provincial
provincial cosmopolitan
costive laxative
laxative costive
constipated unconstipated
unconstipated constipated
considerate inconsiderate
inconsiderate considerate
courteous discourteous
discourteous courteous
polite impolite
impolite polite
civil uncivil
uncivil civil
civil sidereal
sidereal civil
creative uncreative
uncreative creative
credible incredible
incredible credible
credulous incredulous
incredulous credulous
critical uncritical
uncritical critical
judgmental nonjudgmental
nonjudgmental judgmental
critical uncritical
uncritical critical
critical noncritical
noncritical critical
critical noncritical
noncritical critical
crossed uncrossed
uncrossed crossed
crossed uncrossed
uncrossed crossed
cross-eyed walleyed
walleyed cross-eyed
crowned uncrowned
uncrowned crowned
crowned uncrowned
uncrowned crowned
crucial noncrucial
noncrucial crucial
crystallized uncrystallized
uncrystallized crystallized
cubic linear
cubic planar
linear cubic
linear planar
planar cubic
planar linear
unidimensional multidimensional
multidimensional unidimensional
cut uncut
uncut cut
cut uncut
uncut cut
cut uncut
uncut cut
curious incurious
incurious curious
current noncurrent
noncurrent current
cursed blessed
blessed cursed
endowed unendowed
unendowed endowed
curtained curtainless
curtainless curtained
custom-made ready-made
ready-made custom-made
handmade machine-made
machine-made handmade
homemade factory-made
factory-made homemade
cyclic noncyclic
noncyclic cyclic
cyclic acyclic
acyclic cyclic
cyclic acyclic
acyclic cyclic
annual biennial
annual perennial
biennial annual
biennial perennial
perennial annual
perennial biennial
diurnal nocturnal
nocturnal diurnal
damaged undamaged
undamaged damaged
datable undatable
undatable datable
deaf hearing
hearing deaf
decent indecent
indecent decent
decisive indecisive
indecisive decisive
decisive indecisive
indecisive decisive
declarative interrogative
declaratory interrogatory
interrogative declarative
interrogatory declaratory
declared undeclared
undeclared declared
decorous indecorous
indecorous decorous
deductible nondeductible
nondeductible deductible
deep shallow
shallow deep
deep shallow
shallow deep
de_facto de_jure
de_jure de_facto
defeasible indefeasible
indefeasible defeasible
defeated undefeated
undefeated defeated
defiant compliant
compliant defiant
defined undefined
undefined defined
well-defined ill-defined
ill-defined well-defined
derived underived
underived derived
inflected uninflected
uninflected inflected
inflected uninflected
uninflected inflected
definite indefinite
indefinite definite
dehiscent indehiscent
indehiscent dehiscent
dejected elated
elated dejected
delicate rugged
rugged delicate
breakable unbreakable
unbreakable breakable
demanding undemanding
undemanding demanding
imperative beseeching
beseeching imperative
democratic undemocratic
undemocratic democratic
arbitrary nonarbitrary
nonarbitrary arbitrary
demonstrative undemonstrative
undemonstrative demonstrative
deniable undeniable
undeniable deniable
denotative connotative
connotative denotative
reliable unreliable
dependable undependable
unreliable reliable
undependable dependable
dependent independent
independent dependent
independent dependent
dependent independent
partisan nonpartisan
nonpartisan partisan
aligned nonaligned
nonaligned aligned
descriptive prescriptive
prescriptive descriptive
