able unable
glazed unglazed
unglazed glazed
glazed unglazed
unglazed glazed
glorious inglorious
inglorious glorious
go no-go
no-go go
good bad
bad good
good evil
evil good
good-natured ill-natured
ill-natured good-natured
graceful awkward
awkward graceful
gracious ungracious
ungracious gracious
gradual sudden
sudden gradual
gradual steep
steep gradual
grammatical ungrammatical
ungrammatical grammatical
grateful ungrateful
ungrateful grateful
haploid diploid
haploid polyploid
diploid haploid
diploid polyploid
polyploid diploid
polyploid haploid
happy unhappy
unhappy happy
regretful unregretful
unregretful regretful
hard soft
soft hard
hard soft
soft hard
hard soft
soft hard
hard soft
soft hard
hardhearted softhearted
softhearted hardhearted
alcoholic nonalcoholic
nonalcoholic alcoholic
harmless harmful
harmful harmless
harmonious inharmonious
inharmonious harmonious
healthful unhealthful
unhealthful healthful
medical surgical
surgical medical
operable inoperable
inoperable operable
pyretic antipyretic
antipyretic pyretic
healthy unhealthy
unhealthy healthy
dry phlegmy
phlegmy dry
heavenly earthly
earthly heavenly
digestible indigestible
indigestible digestible
headed headless
headless headed
headed unheaded
unheaded headed
heavy light
light heavy
weighty weightless
weightless weighty
light-duty heavy-duty
heavy-duty light-duty
heavy light
light heavy
heavy light
light heavy
heavy light
light heavy
heavy light
light heavy
light-footed heavy-footed
heavy-footed light-footed
light heavy
heavy light
heedless heedful
heedful heedless
enabling disabling
disabling enabling
helpful unhelpful
unhelpful helpful
heterodactyl zygodactyl
zygodactyl heterodactyl
heterogeneous homogeneous
homogeneous heterogeneous
homozygous heterozygous
heterozygous homozygous
heterosexual bisexual
heterosexual homosexual
homosexual bisexual
homosexual heterosexual
bisexual heterosexual
bisexual homosexual
hierarchical nonhierarchical
nonhierarchical hierarchical
high low
low high
raised lowered
lowered raised
high-tech low-tech
low-tech high-tech
necked neckless
neckless necked
ceilinged floored
floored ceilinged
low-sudsing high-sudsing
high-sudsing low-sudsing
low-interest high-interest
high-interest low-interest
high low
low high
high low
low high
imitative nonimitative
nonimitative imitative
echoic nonechoic
nonechoic echoic
high-resolution low-resolution
low-resolution high-resolution
high-rise low-rise
low-rise high-rise
upland lowland
lowland upland
home away
away home
homologous autologous
homologous heterologous
heterologous autologous
heterologous homologous
autologous heterologous
autologous homologous
homologous analogous
homologous heterologous
heterologous analogous
heterologous homologous
analogous heterologous
analogous homologous
gabled hipped
hipped gabled
hipped hipless
hipless hipped
honest dishonest
dishonest honest
truthful untruthful
untruthful truthful
honorable dishonorable
dishonorable honorable
hopeful hopeless
hopeless hopeful
institutionalized noninstitutionalized
noninstitutionalized institutionalized
institutional noninstitutional
noninstitutional institutional
iodinating de-iodinating
de-iodinating iodinating
consolable inconsolable
inconsolable consolable
horizontal inclined
horizontal vertical
vertical horizontal
vertical inclined
inclined horizontal
inclined vertical
erect unerect
unerect erect
standing seated
seated standing
standing running
running standing
running standing
standing running
running passing
passing running
hospitable inhospitable
inhospitable hospitable
hospitable inhospitable
inhospitable hospitable
hostile amicable
amicable hostile
hot cold
cold hot
vernal autumnal
vernal summery
vernal wintry
summery autumnal
summery vernal
summery wintry
autumnal summery
autumnal vernal
autumnal wintry
wintry autumnal
wintry summery
wintry vernal
hot cold
cold hot
human nonhuman
nonhuman human
superhuman subhuman
subhuman superhuman
humane inhumane
inhumane humane
humorous humorless
humorless humorous
hungry thirsty
thirsty hungry
hurried unhurried
unhurried hurried
identifiable unidentifiable
unidentifiable identifiable
immanent transeunt
transeunt immanent
impaired unimpaired
unimpaired impaired
important unimportant
unimportant important
impressive unimpressive
unimpressive impressive
noticeable unnoticeable
unnoticeable noticeable
improved unimproved
unimproved improved
cleared uncleared
uncleared cleared
inaugural exaugural
exaugural inaugural
inboard outboard
outboard inboard
inbred outbred
outbred inbred
inclined disinclined
disinclined inclined
incoming outgoing
outgoing incoming
incoming outgoing
outgoing incoming
inductive deductive
deductive inductive
indulgent nonindulgent
nonindulgent indulgent
industrial nonindustrial
nonindustrial industrial
infectious noninfectious
noninfectious infectious
infernal supernal
supernal infernal
informative uninformative
uninformative informative
gnostic agnostic
agnostic gnostic
informed uninformed
uninformed informed
ingenuous disingenuous
disingenuous ingenuous
inhabited uninhabited
uninhabited inhabited
inheritable noninheritable
noninheritable inheritable
inhibited uninhibited
uninhibited inhibited
injectable uninjectable
uninjectable injectable
injured uninjured
uninjured injured
innocent guilty
guilty innocent
inspiring uninspiring
uninspiring inspiring
instructive uninstructive
uninstructive instructive
edifying unedifying
unedifying edifying
enlightening unenlightening
unenlightening enlightening
integrated segregated
segregated integrated
integrated nonintegrated
nonintegrated integrated
blended unblended
unblended blended
combined uncombined
uncombined combined
integrative disintegrative
disintegrative integrative
intellectual nonintellectual
nonintellectual intellectual
intelligent unintelligent
unintelligent intelligent
intelligible unintelligible
unintelligible intelligible
intended unintended
unintended intended
designed undesigned
undesigned designed
intensifying moderating
moderating intensifying
interspecies intraspecies
intraspecies interspecies
interested uninterested
uninterested interested
interesting uninteresting
uninteresting interesting
intramural extramural
extramural intramural
intra_vires ultra_vires
ultra_vires intra_vires
intrinsic extrinsic
extrinsic intrinsic
introspective extrospective
extrospective introspective
introversive ambiversive
introversive extroversive
extroversive ambiversive
extroversive introversive
ambiversive extroversive
ambiversive introversive
intrusive unintrusive
unintrusive intrusive
intrusive protrusive
protrusive intrusive
igneous aqueous
aqueous igneous
intrusive extrusive
extrusive intrusive
invasive confined
confined invasive
invasive noninvasive
noninvasive invasive
invigorating debilitating
debilitating invigorating
inviting uninviting
uninviting inviting
in_vitro in_vivo
in_vivo in_vitro
ironed unironed
unironed ironed
wrinkled unwrinkled
unwrinkled wrinkled
isotropic anisotropic
anisotropic isotropic
glad sad
sad glad
joyful sorrowful
sorrowful joyful
joyous joyless
joyless joyous
juicy juiceless
juiceless juicy
just unjust
unjust just
merited unmerited
unmerited merited
keyed keyless
keyless keyed
kind unkind
unkind kind
knowable unknowable
unknowable knowable
known unknown
unknown known
understood ununderstood
ununderstood understood
labeled unlabeled
unlabeled labeled
lamented unlamented
unlamented lamented
laureled unlaureled
unlaureled laureled
large small
big little
small large
little big
greater lesser
lesser greater
lawful unlawful
unlawful lawful
leaded unleaded
unleaded leaded
leaky tight
tight leaky
caulked uncaulked
uncaulked caulked
leavened unleavened
unleavened leavened
leeward windward
windward leeward
legal illegal
illegal legal
legible illegible
illegible legible
deciphered undeciphered
undeciphered deciphered
biological adoptive
adoptive biological
legitimate illegitimate
illegitimate legitimate
leptorrhine catarrhine
leptorrhine platyrrhine
catarrhine leptorrhine
catarrhine platyrrhine
platyrrhine catarrhine
platyrrhine leptorrhine
leptosporangiate eusporangiate
eusporangiate leptosporangiate
like unlike
unlike like
alike unalike
unalike alike
like unlike
unlike like
likely unlikely
unlikely likely
probable improbable
improbable probable
limbed limbless
limbless limbed
limited unlimited
unlimited limited
lineal collateral
collateral lineal
linear nonlinear
nonlinear linear
lined unlined
unlined lined
listed unlisted
unlisted listed
literal figurative
figurative literal
literate illiterate
illiterate literate
literate illiterate
illiterate literate
live recorded
recorded live
livable unlivable
unlivable livable
liveried unliveried
unliveried liveried
loaded unloaded
unloaded loaded
loamy loamless
loamless loamy
local general
general local
epidemic ecdemic
epidemic endemic
ecdemic endemic
ecdemic epidemic
endemic ecdemic
endemic epidemic
gloved gloveless
gloveless gloved
hatted hatless
hatless hatted
guided unguided
unguided guided
legged legless
legless legged
logical illogical
illogical logical
extended unextended
unextended extended
mini maxi
mini midi
midi maxi
midi mini
maxi midi
maxi mini
lossy lossless
lossless lossy
long short
short long
long short
short long
long short
short long
long short
short long
lengthwise crosswise
crosswise lengthwise
lidded lidless
lidless lidded
loose tight
tight loose
constricted unconstricted
unconstricted constricted
lost found
found lost
lost saved
saved lost
lost won
won lost
loud soft
soft loud
full thin
thin full
piano forte
forte piano
hardened soft
soft hardened
lovable hateful
hateful lovable
liked disliked
disliked liked
loved unloved
unloved loved
loving unloving
unloving loving
lowercase uppercase
uppercase lowercase
lucky unlucky
unlucky lucky
lyric dramatic
dramatic lyric
made unmade
unmade made
magnetic antimagnetic
antimagnetic magnetic
magnetic geographic
geographic magnetic
magnetic nonmagnetic
nonmagnetic magnetic
major minor
minor major
major minor
minor major
major minor
minor major
major minor
minor major
major minor
minor major
major minor
minor major
major minor
minor major
majuscule minuscule
minuscule majuscule
manageable unmanageable
unmanageable manageable
manly unmanly
unmanly manly
male androgynous
male female
female androgynous
female male
androgynous female
androgynous male
manned unmanned
unmanned manned
marked unmarked
unmarked marked
branded unbranded
unbranded branded
married unmarried
unmarried married
mated unmated
unmated mated
masculine feminine
feminine masculine
womanly unwomanly
unwomanly womanly
masculine feminine
masculine neuter
feminine masculine
feminine neuter
neuter feminine
neuter masculine
matched mismatched
mismatched matched
material immaterial
immaterial material
mature immature
immature mature
mature immature
immature mature
ripe green
green ripe
seasonal year-round
year-round seasonal
seasonable unseasonable
unseasonable seasonable
seasoned unseasoned
unseasoned seasoned
full-term premature
premature full-term
maximal minimal
maximum minimum
minimal maximal
minimum maximum
meaningful meaningless
meaningless meaningful
measurable immeasurable
immeasurable measurable
meaty meatless
meatless meaty
mechanical nonmechanical
nonmechanical mechanical
melodious unmelodious
unmelodious melodious
tuneful tuneless
tuneless tuneful
membered memberless
memberless membered
mined unmined
unmined mined
musical unmusical
unmusical musical
musical unmusical
unmusical musical
melted unmelted
unmelted melted
merciful merciless
merciless merciful
metabolic ametabolic
ametabolic metabolic
mild intense
intense mild
intensive extensive
extensive intensive
involved uninvolved
uninvolved involved
military civilian
civilian military
military unmilitary
unmilitary military
mitigated unmitigated
unmitigated mitigated
tempered untempered
untempered tempered
tempered untempered
untempered tempered
mobile immobile
immobile mobile
portable unportable
unportable portable
removable irremovable
irremovable removable
metallic nonmetallic
nonmetallic metallic
metamorphic nonmetamorphic
nonmetamorphic metamorphic
moderate immoderate
immoderate moderate
modern nonmodern
nonmodern modern
modest immodest
immodest modest
modest immodest
immodest modest
modified unmodified
unmodified modified
modulated unmodulated
unmodulated modulated
molar molecular
molecular molar
monoclinous diclinous
diclinous monoclinous
monoecious dioecious
dioecious monoecious
monophonic polyphonic
polyphonic monophonic
monogamous polygamous
polygamous monogamous
monolingual multilingual
multilingual monolingual
monovalent polyvalent
polyvalent monovalent
univalent bivalent
univalent multivalent
bivalent multivalent
bivalent univalent
multivalent bivalent
multivalent univalent
monotonic nonmonotonic
nonmonotonic monotonic
monovalent polyvalent
polyvalent monovalent
moral immoral
immoral moral
licit illicit
illicit licit
principled unprincipled
unprincipled principled
many few
few many
much little
little much
more less
less more
most least
least most
more fewer
fewer more
most fewest
fewest most
mortal immortal
immortal mortal
motivated unmotivated
unmotivated motivated
motorized unmotorized
unmotorized motorized
moved unmoved
unmoved moved
moving unmoving
unmoving moving
moving nonmoving
nonmoving moving
moving still
still moving
mown unmown
unmown mown
seamanlike unseamanlike
unseamanlike seamanlike
continental intercontinental
intercontinental continental
national international
international national
interstate intrastate
intrastate interstate
natural unnatural
unnatural natural
natural artificial
artificial natural
natural supernatural
supernatural natural
natural flat
natural sharp
sharp flat
sharp natural
flat natural
flat sharp
ultimate proximate
proximate ultimate
necessary unnecessary
unnecessary necessary
net gross
gross net
neurotic unneurotic
unneurotic neurotic
nice nasty
nasty nice
nidicolous nidifugous
nidifugous nidicolous
noble ignoble
ignoble noble
noble lowborn
lowborn noble
normal abnormal
abnormal normal
normal abnormal
abnormal normal
hypertensive hypotensive
hypertensive normotensive
hypotensive hypertensive
hypotensive normotensive
normotensive hypertensive
normotensive hypotensive
normal paranormal
paranormal normal
north south
south north
northern southern
southern northern
northern southern
southern northern
nosed noseless
noseless nosed
noticed unnoticed
unnoticed noticed
detected undetected
undetected detected
determined undetermined
undetermined determined
noxious innocuous
innocuous noxious
obedient disobedient
disobedient obedient
obtrusive unobtrusive
unobtrusive obtrusive
objective subjective
subjective objective
obligated unobligated
unobligated obligated
obligate facultative
facultative obligate
obvious unobvious
unobvious obvious
obstructed unobstructed
unobstructed obstructed
occupied unoccupied
unoccupied occupied
occupied unoccupied
unoccupied occupied
offensive inoffensive
inoffensive offensive
savory unsavory
unsavory savory
offensive inoffensive
inoffensive offensive
offensive defensive
defensive offensive
offending unoffending
unoffending offending
apologetic unapologetic
unapologetic apologetic
official unofficial
unofficial official
confirmed unconfirmed
unconfirmed confirmed
established unestablished
unestablished established
conditioned unconditioned
unconditioned conditioned
on-site off-site
off-site on-site
offstage onstage
onstage offstage
off-street on-street
on-street off-street
old new
new old
old young
young old
one-piece three-piece
one-piece two-piece
two-piece one-piece
two-piece three-piece
three-piece one-piece
three-piece two-piece
on-line off-line
off-line on-line
on-line off-line
off-line on-line
on off
off on
on off
off on
onside offside
offside onside
open shut
shut open
open closed
closed open
open closed
closed open
spaced unspaced
unspaced spaced
enclosed unenclosed
unenclosed enclosed
tanned untanned
untanned tanned
tapped untapped
untapped tapped
open closed
closed open
operational nonoperational
nonoperational operational
opportune inopportune
inopportune opportune
opposable unopposable
unopposable opposable
opposed unopposed
unopposed opposed
opposite alternate
alternate opposite
optimistic pessimistic
pessimistic optimistic
oral aboral
aboral oral
actinal abactinal
abactinal actinal
orderly disorderly
disorderly orderly
ordered disordered
disordered ordered
organized disorganized
disorganized organized
organized unorganized
unorganized organized
structured unstructured
unstructured structured
ordinary extraordinary
extraordinary ordinary
organic inorganic
inorganic organic
organic inorganic
inorganic organic
holistic atomistic
atomistic holistic
arranged disarranged
disarranged arranged
oriented unoriented
unoriented oriented
orienting disorienting
disorienting orienting
original unoriginal
unoriginal original
orthodox unorthodox
unorthodox orthodox
outdoor indoor
indoor outdoor
outside inside
inside outside
covered bare
bare covered
coated uncoated
uncoated coated
roofed roofless
roofless roofed
leafy leafless
leafless leafy
lipped lipless
lipless lipped
overt covert
covert overt
paid unpaid
unpaid paid
painful painless
painless painful
painted unpainted
unpainted painted
painted unpainted
unpainted painted
delineated undelineated
undelineated delineated
paintable unpaintable
unpaintable paintable
palatable unpalatable
unpalatable palatable
palpable impalpable
impalpable palpable
parallel oblique
parallel perpendicular
oblique parallel
oblique perpendicular
perpendicular oblique
perpendicular parallel
pardonable unpardonable
unpardonable pardonable
excusable inexcusable
inexcusable excusable
parental filial
filial parental
partial impartial
impartial partial
particulate nonparticulate
nonparticulate particulate
passable impassable
impassable passable
passionate passionless
passionless passionate
past future
past present
present future
present past
future past
future present
born unborn
unborn born
parented unparented
unparented parented
paternal maternal
maternal paternal
wifely husbandly
husbandly wifely
patient impatient
impatient patient
patriarchal matriarchal
matriarchal patriarchal
patronized unpatronized
unpatronized patronized
packaged unpackaged
unpackaged packaged
paved unpaved
unpaved paved
patriotic unpatriotic
unpatriotic patriotic
peaceful unpeaceful
unpeaceful peaceful
penitent impenitent
repentant unrepentant
impenitent penitent
unrepentant repentant
perceptive unperceptive
unperceptive perceptive
perceptible imperceptible
imperceptible perceptible
perfect imperfect
imperfect perfect
perishable imperishable
imperishable perishable
permanent impermanent
impermanent permanent
persistent caducous
caducous persistent
reversible irreversible
irreversible reversible
reversible nonreversible
nonreversible reversible
revocable irrevocable
irrevocable revocable
permissible impermissible
impermissible permissible
admissible inadmissible
inadmissible admissible
permissive unpermissive
unpermissive permissive
permissive preventive
preventive permissive
perplexed unperplexed
unperplexed perplexed
personal impersonal
impersonal personal
persuasive dissuasive
dissuasive persuasive
penetrable impenetrable
impenetrable penetrable
permeable impermeable
impermeable permeable
pervious impervious
impervious pervious
petalous apetalous
apetalous petalous
puncturable punctureless
punctureless puncturable
psychoactive nonpsychoactive
nonpsychoactive psychoactive
physical mental
mental physical
monotheistic polytheistic
polytheistic monotheistic
pious impious
impious pious
secular religious
religious secular
religious irreligious
irreligious religious
placable implacable
implacable placable
plain patterned
patterned plain
plain fancy
fancy plain
planned unplanned
unplanned planned
studied unstudied
unstudied studied
plausible implausible
implausible plausible
pleasant unpleasant
unpleasant pleasant
pleased displeased
displeased pleased
pleasing displeasing
displeasing pleasing
pointed pointless
pointless pointed
acute obtuse
obtuse acute
polished unpolished
unpolished polished
politic impolitic
impolitic politic
political nonpolitical
nonpolitical political
ponderable imponderable
imponderable ponderable
popular unpopular
unpopular popular
pro anti
anti pro
positive negative
positive neutral
negative neutral
negative positive
neutral negative
neutral positive
plus minus
minus plus
positive negative
negative positive
positive negative
negative positive
possible impossible
impossible possible
potent impotent
impotent potent
potent impotent
impotent potent
powerful powerless
powerless powerful
powered unpowered
unpowered powered
high-tension low-tension
low-tension high-tension
influential uninfluential
uninfluential influential
placental aplacental
aplacental placental
planted unplanted
unplanted planted
plowed unplowed
unplowed plowed
cultivated uncultivated
uncultivated cultivated
potted unpotted
unpotted potted
practical impractical
impractical practical
precise imprecise
imprecise precise
precocious retarded
retarded precocious
predictable unpredictable
unpredictable predictable
premeditated unpremeditated
unpremeditated premeditated
prepared unprepared
unprepared prepared
prescription nonprescription
nonprescription prescription
present absent
absent present
ostentatious unostentatious
unostentatious ostentatious
pretentious unpretentious
unpretentious pretentious
primary secondary
secondary primary
basic incidental
incidental basic
private public
public private
exclusive inclusive
inclusive exclusive
privileged underprivileged
underprivileged privileged
productive unproductive
unproductive productive
generative consumptive
consumptive generative
reproducible unreproducible
unreproducible reproducible
professional nonprofessional
nonprofessional professional
professional unprofessional
unprofessional professional
profitable unprofitable
unprofitable profitable
profound superficial
superficial profound
prognathous opisthognathous
opisthognathous prognathous
progressive regressive
regressive progressive
progressive regressive
regressive progressive
pronounceable unpronounceable
unpronounceable pronounceable
proper improper
improper proper
prophetic unprophetic
unprophetic prophetic
prospective retrospective
retrospective prospective
protected unprotected
unprotected protected
protective unprotective
unprotective protective
proud humble
humble proud
proved unproved
unproved proved
provident improvident
improvident provident
provocative unprovocative
unprovocative provocative
prudent imprudent
imprudent prudent
punctual unpunctual
unpunctual punctual
punished unpunished
unpunished punished
punitive rehabilitative
rehabilitative punitive
purebred crossbred
crossbred purebred
pure impure
impure pure
pure impure
impure pure
contaminated uncontaminated
uncontaminated contaminated
purposeful purposeless
purposeless purposeful
qualified unqualified
unqualified qualified
trained untrained
untrained trained
qualified unqualified
unqualified qualified
qualitative quantitative
quantitative qualitative
questionable unquestionable
unquestionable questionable
quiet noisy
noisy quiet
restful restless
restless restful
quiet unquiet
unquiet quiet
random nonrandom
nonrandom random
rational irrational
irrational rational
emotional cerebral
cerebral emotional
racial nonracial
nonracial racial
reactive unreactive
unreactive reactive
ready unready
unready ready
real unreal
unreal real
real unreal
unreal real
real nominal
nominal real
realistic unrealistic
unrealistic realistic
reasonable unreasonable
unreasonable reasonable
reciprocal nonreciprocal
nonreciprocal reciprocal
refined unrefined
unrefined refined
processed unprocessed
unprocessed processed
refined unrefined
unrefined refined
treated untreated
untreated treated
oiled unoiled
unoiled oiled
treated untreated
untreated treated
recoverable unrecoverable
unrecoverable recoverable
regenerate unregenerate
unregenerate regenerate
registered unregistered
unregistered registered
registered unregistered
unregistered registered
regular irregular
irregular regular
regular irregular
irregular regular
regulated unregulated
unregulated regulated
remediable irremediable
irremediable remediable
renewable unrenewable
unrenewable renewable
rentable unrentable
unrentable rentable
reparable irreparable
irreparable reparable
repeatable unrepeatable
quotable unquotable
unrepeatable repeatable
unquotable quotable
repetitive nonrepetitive
nonrepetitive repetitive
printable unprintable
unprintable printable
requested unrequested
unrequested requested
rhymed unrhymed
unrhymed rhymed
uniform multiform
multiform uniform
periodic aperiodic
aperiodic periodic
regular irregular
irregular regular
related unrelated
unrelated related
related unrelated
unrelated related
relevant irrelevant
irrelevant relevant
mindful unmindful
unmindful mindful
replaceable irreplaceable
irreplaceable replaceable
representational nonrepresentational
nonrepresentational representational
representative nonrepresentative
nonrepresentative representative
reputable disreputable
disreputable reputable
receptive unreceptive
unreceptive receptive
reconcilable irreconcilable
irreconcilable reconcilable
reserved unreserved
unreserved reserved
reserved unreserved
unreserved reserved
resistible irresistible
irresistible resistible
resolute irresolute
irresolute resolute
respectable unrespectable
unrespectable respectable
respectful disrespectful
disrespectful respectful
responsible irresponsible
irresponsible responsible
responsive unresponsive
unresponsive responsive
restrained unrestrained
unrestrained restrained
restricted unrestricted
unrestricted restricted
restrictive unrestrictive
unrestrictive restrictive
retentive unretentive
unretentive retentive
reticulate nonreticulate
nonreticulate reticulate
retractile nonretractile
nonretractile retractile
reflective nonreflective
nonreflective reflective
reflected unreflected
unreflected reflected
reverberant unreverberant
unreverberant reverberant
reverent irreverent
irreverent reverent
revived unrevived
unrevived revived
awakened unawakened
unawakened awakened
awed unawed
unawed awed
revolutionary counterrevolutionary
counterrevolutionary revolutionary
rewarding unrewarding
unrewarding rewarding
rhetorical unrhetorical
unrhetorical rhetorical
rhythmical unrhythmical
unrhythmical rhythmical
ribbed ribless
ribless ribbed
rich poor
poor rich
rich poor
poor rich
rich poor
poor rich
moneyed moneyless
moneyless moneyed
solvent insolvent
insolvent solvent
rich lean
lean rich
rimmed rimless
rimless rimmed
handed handless
handless handed
handled handleless
handleless handled
right-handed ambidextrous
right-handed left-handed
left-handed ambidextrous
left-handed right-handed
ambidextrous left-handed
ambidextrous right-handed
right center
right left
left center
left right
center left
center right
right left
left right
horned hornless
hornless horned
right wrong
wrong right
righteous unrighteous
unrighteous righteous
robust frail
frail robust
round square
square round
rounded angular
angular rounded
oblate prolate
prolate oblate
rural urban
urban rural
rusted rustless
rustless rusted
holy unholy
unholy holy
sacred profane
profane sacred
sadistic masochistic
masochistic sadistic
safe dangerous
dangerous safe
safe out
out safe
salable unsalable
unsalable salable
same different
different same
same other
other same
similar dissimilar
dissimilar similar
sane insane
insane sane
satiate insatiate
insatiate satiate
sarcastic unsarcastic
unsarcastic sarcastic
satisfactory unsatisfactory
unsatisfactory satisfactory
scalable unscalable
unscalable scalable
scholarly unscholarly
unscholarly scholarly
scientific unscientific
unscientific scientific
scrupulous unscrupulous
unscrupulous scrupulous
conscientious unconscientious
unconscientious conscientious
sealed unsealed
unsealed sealed
sealed unsealed
unsealed sealed
wrapped unwrapped
unwrapped wrapped
seaworthy unseaworthy
unseaworthy seaworthy
airworthy unairworthy
unairworthy airworthy
concealed unconcealed
unconcealed concealed
concealing revealing
revealing concealing
sectarian nonsectarian
nonsectarian sectarian
secure insecure
insecure secure
secure insecure
insecure secure
secure insecure
insecure secure
fastened unfastened
unfastened fastened
insured uninsured
uninsured insured
seductive unseductive
unseductive seductive
selfish unselfish
unselfish selfish
senior junior
junior senior
sensational unsensational
unsensational sensational
sensible insensible
insensible sensible
sensitive insensitive
insensitive sensitive
sensitive insensitive
insensitive sensitive
sensitizing desensitizing
desensitizing sensitizing
sensory extrasensory
extrasensory sensory
sent unsent
unsent sent
separate joint
joint separate
sanitary unsanitary
unsanitary sanitary
septic antiseptic
antiseptic septic
germfree germy
germy germfree
adulterating purifying
purifying adulterating
serious frivolous
frivolous serious
playful unplayful
unplayful playful
selected unselected
unselected selected
serviceable unserviceable
unserviceable serviceable
resident nonresident
nonresident resident
settled unsettled
unsettled settled
migratory nonmigratory
nonmigratory migratory
settled unsettled
unsettled settled
sexy unsexy
unsexy sexy
sexual asexual
asexual sexual
castrated uncastrated
uncastrated castrated
aphrodisiac anaphrodisiac
anaphrodisiac aphrodisiac
estrous anestrous
anestrous estrous
shapely unshapely
unshapely shapely
breasted breastless
breastless breasted
formed unformed
unformed formed
shared unshared
unshared shared
shaven unshaven
unshaven shaven
sheared unsheared
unsheared sheared
sheathed unsheathed
unsheathed sheathed
shockable unshockable
unshockable shockable
shod unshod
unshod shod
calced discalced
discalced calced
nearsighted farsighted
farsighted nearsighted
shrinkable unshrinkable
unshrinkable shrinkable
sighted blind
blind sighted
signed unsigned
unsigned signed
significant insignificant
insignificant significant
significant nonsignificant
nonsignificant significant
silenced unsilenced
unsilenced silenced
simple compound
compound simple
simple complex
complex simple
sincere insincere
insincere sincere
singular plural
plural singular
singular plural
plural singular
cardinal ordinal
ordinal cardinal
scripted unscripted
unscripted scripted
sinkable unsinkable
unsinkable sinkable
single multiple
multiple single
double single
single double
multiple-choice true-false
true-false multiple-choice
single-lane multilane
multilane single-lane
sized unsized
unsized sized
sized unsized
unsized sized
skilled unskilled
unskilled skilled
verbal numerical
numerical verbal
coarse fine
fine coarse
smoky smokeless
smokeless smoky
slippery nonslippery
nonslippery slippery
lubricated unlubricated
unlubricated lubricated
smooth rough
rough smooth
smooth rough
rough smooth
furrowed unfurrowed
unfurrowed furrowed
smooth rough
rough smooth
rifled unrifled
unrifled rifled
social unsocial
unsocial social
accompanied unaccompanied
unaccompanied accompanied
accompanied unaccompanied
unaccompanied accompanied
gregarious ungregarious
ungregarious gregarious
gregarious ungregarious
ungregarious gregarious
seamed seamless
seamless seamed
seeded unseeded
unseeded seeded
seedy seedless
seedless seedy
shuttered unshuttered
unshuttered shuttered
sleeved sleeveless
sleeveless sleeved
sociable unsociable
unsociable sociable
sold unsold
unsold sold
soled soleless
soleless soled
solid gaseous
solid liquid
liquid gaseous
liquid solid
gaseous liquid
gaseous solid
solid hollow
hollow solid
soluble insoluble
insoluble soluble
soluble insoluble
insoluble soluble
solved unsolved
unsolved solved
some all
some no
no all
no some
all no
all some
sophisticated naive
naive sophisticated
sound unsound
unsound sound
sound unsound
unsound sound
effervescent noneffervescent
noneffervescent effervescent
sparkling still
still sparkling
specialized unspecialized
unspecialized specialized
spinous spineless
spineless spinous
spirited spiritless
spiritless spirited
spontaneous induced
induced spontaneous
spoken written
written spoken
voiced unvoiced
unvoiced voiced
written unwritten
unwritten written
vocalic consonantal
consonantal vocalic
stoppable unstoppable
unstoppable stoppable
syllabic nonsyllabic
nonsyllabic syllabic
syllabic nonsyllabic
nonsyllabic syllabic
syllabic accentual
syllabic quantitative
accentual quantitative
accentual syllabic
quantitative accentual
quantitative syllabic
stable unstable
unstable stable
staccato legato
legato staccato
staged unstaged
unstaged staged
standard nonstandard
nonstandard standard
standard nonstandard
nonstandard standard
standard nonstandard
nonstandard standard
starchy starchless
starchless starchy
starry starless
starless starry
nourished malnourished
malnourished nourished
steady unsteady
unsteady steady
stemmed stemless
stemless stemmed
stimulating unstimulating
unstimulating stimulating
depressant stimulative
stimulative depressant
stomatous astomatous
astomatous stomatous
straight crooked
crooked straight
straight curved
curved straight
coiled uncoiled
uncoiled coiled
straight crooked
crooked straight
stressed unstressed
unstressed stressed
tonic atonic
atonic tonic
strong weak
weak strong
stubborn docile
docile stubborn
subordinate insubordinate
insubordinate subordinate
successful unsuccessful
unsuccessful successful
sufficient insufficient
insufficient sufficient
sugary sugarless
sugarless sugary
superior inferior
inferior superior
superior inferior
inferior superior
superior inferior
inferior superior
superjacent subjacent
subjacent superjacent
superscript adscript
superscript subscript
subscript adscript
subscript superscript
adscript subscript
adscript superscript
supervised unsupervised
unsupervised supervised
supported unsupported
unsupported supported
supported unsupported
unsupported supported
assisted unassisted
unassisted assisted
supportive unsupportive
unsupportive supportive
surmountable insurmountable
insurmountable surmountable
surprised unsurprised
unsurprised surprised
surprising unsurprising
unsurprising surprising
susceptible unsusceptible
unsusceptible susceptible
impressionable unimpressionable
unimpressionable impressionable
exempt nonexempt
nonexempt exempt
scheduled unscheduled
unscheduled scheduled
sweet dry
dry sweet
sweet sour
sour sweet
soured unsoured
unsoured soured
suspected unsuspected
unsuspected suspected
swept unswept
unswept swept
sworn unsworn
unsworn sworn
symmetrical asymmetrical
asymmetrical symmetrical
actinomorphic zygomorphic
zygomorphic actinomorphic
sympathetic unsympathetic
unsympathetic sympathetic
sympathetic unsympathetic
unsympathetic sympathetic
sympatric allopatric
allopatric sympatric
synchronic diachronic
diachronic synchronic
synchronous asynchronous
asynchronous synchronous
synchronous asynchronous
asynchronous synchronous
syndetic asyndetic
asyndetic syndetic
synonymous antonymous
antonymous synonymous
systematic unsystematic
unsystematic systematic
taciturn voluble
voluble taciturn
tactful tactless
tactless tactful
tall short
short tall
tame wild
wild tame
